powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
BEV,western europe,2029,4959.523087231053,2.6362336072550976,1886.4406952852194,1131.8644171711317,Q1,2500,35,3.2174936159475127,1.1261227655816295
BEV,western europe,2029,4959.523087231053,2.6362336072550976,1886.4406952852194,1131.8644171711317,Q2,10000,35,0.8241451560412915,0.288450804614452
BEV,western europe,2029,4959.523087231053,2.6362336072550976,1886.4406952852194,1131.8644171711317,Q3,20000,20,0.4252537460569212,0.08505074921138422
BEV,western europe,2029,4959.523087231053,2.6362336072550976,1886.4406952852194,1131.8644171711317,Q4,40000,10,0.2258080410647361,0.02258080410647361
FCEV,western europe,2029,4564.418233380307,6.964571081158098,1686.8387609482959,1349.4710087586366,Q1,2500,35,3.109936912046477,1.088477919216267
FCEV,western europe,2029,4564.418233380307,6.964571081158098,1686.8387609482959,1349.4710087586366,Q2,10000,35,0.8297185111203049,0.2904014788921067
FCEV,western europe,2029,4564.418233380307,6.964571081158098,1686.8387609482959,1349.4710087586366,Q3,20000,20,0.44968211096594296,0.08993642219318859
FCEV,western europe,2029,4564.418233380307,6.964571081158098,1686.8387609482959,1349.4710087586366,Q4,40000,10,0.25966391088876195,0.025966391088876196
ICE-G,western europe,2030,4788.292043305061,8.932674464649521,1859.4,2169.3,Q1,2500,35,3.6161235619685197,1.265643246688982
ICE-G,western europe,2030,4788.292043305061,8.932674464649521,1859.4,2169.3,Q2,10000,35,0.9710259489770012,0.33985908214195043
ICE-G,western europe,2030,4788.292043305061,8.932674464649521,1859.4,2169.3,Q3,20000,20,0.5301763468117482,0.10603526936234964
ICE-G,western europe,2030,4788.292043305061,8.932674464649521,1859.4,2169.3,Q4,40000,10,0.3097515457291217,0.030975154572912174
ICE-D,western europe,2030,4942.802919178087,7.830543439765143,1919.4,2239.3,Q1,2500,35,3.718906602068887,1.3016173107241105
ICE-D,western europe,2030,4942.802919178087,7.830543439765143,1919.4,2239.3,Q2,10000,35,0.9884557263154603,0.3459595042104111
ICE-D,western europe,2030,4942.802919178087,7.830543439765143,1919.4,2239.3,Q3,20000,20,0.5333805803565559,0.10667611607131118
ICE-D,western europe,2030,4942.802919178087,7.830543439765143,1919.4,2239.3,Q4,40000,10,0.3058430073771036,0.030584300737710363
CNG,western europe,2030,4712.9994526203645,5.512173774329177,1435.85,1723.02,Q1,2500,35,3.2038695187914383,1.1213543315770034
CNG,western europe,2030,4712.9994526203645,5.512173774329177,1435.85,1723.02,Q2,10000,35,0.8423086830053284,0.2948080390518649
CNG,western europe,2030,4712.9994526203645,5.512173774329177,1435.85,1723.02,Q3,20000,20,0.44871521037431006,0.089743042074862
CNG,western europe,2030,4712.9994526203645,5.512173774329177,1435.85,1723.02,Q4,40000,10,0.2519184740588009,0.025191847405880093
HEV,western europe,2030,4620.603700918898,8.120613149681384,1644.7593226989522,1345.7121731173245,Q1,2500,35,3.1256362101908834,1.0939726735668092
HEV,western europe,2030,4620.603700918898,8.120613149681384,1644.7593226989522,1345.7121731173245,Q2,10000,35,0.8423136511703313,0.29480977790961593
HEV,western europe,2030,4620.603700918898,8.120613149681384,1644.7593226989522,1345.7121731173245,Q3,20000,20,0.46175989133357254,0.09235197826671451
HEV,western europe,2030,4620.603700918898,8.120613149681384,1644.7593226989522,1345.7121731173245,Q4,40000,10,0.2714830114151932,0.02714830114151932
